DIA_TRANSPORTE,"NOMBRE_EMPRESA","LINEA","AMBA","TIPO_TRANSPORTE","JURISDICCION","PROVINCIA","MUNICIPIO",CANTIDAD,"DATO_PRELIMINAR"
2026-01-01,"EXPRESO VILLA GALICIA  SAN JOSE S.A.","BSAS_LINEA_239B","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",818,"NO"
2026-01-01,"LA CABAÑA S.A.","BSAS_LINEA_242","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",6383,"NO"
2026-01-01,"EMPRESA DEL OESTE SAT","BSAS_LINEA_244","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",935,"NO"
2026-01-01,"EMPRESA MONTE GRANDE S.A. LINEA 501","BSAS_LINEA_245","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",646,"NO"
2026-01-01,"EXPRESO NUEVE DE JULIO S.A.","BSAS_LINEA_247","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",6087,"NO"
2026-01-01,"TRANSPORTE JOSE HERNANDEZ S.A.C.I.","BSAS_LINEA_252","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1446,"NO"
2026-01-01,"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.","BSAS_LINEA_253","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",46,"NO"
2026-01-01,"TRANSPORTE 11 DE JUNIO S.R.L.","BSAS_LINEA_256","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",123,"NO"
2026-01-01,"EXPRESO VILLA NUEVA S.A.","BSAS_LINEA_257","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2371,"NO"
2026-01-01,"EXPRESO VILLA GALICIA  SAN JOSE S.A.","BSAS_LINEA_263B","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2770,"NO"
2026-01-01,"SAN VICENTE S.A. DE TRANSPORTES","BSAS_LINEA_263B","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2080,"NO"
2026-01-01,"EMPRESA CIUDAD DE SAN FERNANDO SA","BSAS_LINEA_264","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1279,"NO"
2026-01-01,"EXPRESO VILLA GALICIA  SAN JOSE S.A.","BSAS_LINEA_266","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",8369,"NO"
2026-01-01,"EMPRESA LINEA 216 S.A.T.","BSAS_LINEA_269","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",5712,"NO"
2026-01-01,"GENERAL TOMAS GUIDO S.A.C.I.F.","BSAS_LINEA_271","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3510,"NO"
2026-01-01,"UNION PLATENSE SRL","BSAS_LINEA_273","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3442,"NO"
2026-01-01,"FUERTE BARRAGAN S.A.T.I.C.I.","BSAS_LINEA_275","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",7403,"NO"
2026-01-01,"COMPAÑIA ISLEÑA S.R.L.","BSAS_LINEA_276","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",4089,"NO"
2026-01-01,"CIA LA PAZ AMADOR MOURE SACIFIYA","BSAS_LINEA_277","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",892,"NO"
2026-01-01,"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","BSAS_LINEA_278","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",8963,"NO"
